"filename", "language", "JavaScript", "Markdown", "YAML", "XML", "HTML", "Handlebars", "PostCSS", "SCSS", "JSON with Comments", "JSON", "Properties", "comment", "blank", "total"
"d:\codes\database\src\api\role.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\codes\database\src\api\task.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\codes\database\src\api\user.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\codes\database\src\assets\custom-theme\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\components\Charts\mixins\resize.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 57
"d:\codes\database\src\components\ImageCropper\utils\data2blob.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 20
"d:\codes\database\src\components\ImageCropper\utils\effectRipple.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 40
"d:\codes\database\src\components\ImageCropper\utils\language.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 233
"d:\codes\database\src\components\ImageCropper\utils\mimes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\codes\database\src\components\MarkdownEditor\default-options.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 32
"d:\codes\database\src\components\Tinymce\dynamicLoadScript.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 60
"d:\codes\database\src\components\Tinymce\plugins.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 8
"d:\codes\database\src\components\Tinymce\toolbar.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7
"d:\codes\database\src\directive\clipboard\clipboard.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 50
"d:\codes\database\src\directive\clipboard\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\codes\database\src\directive\el-drag-dialog\drag.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 78
"d:\codes\database\src\directive\el-drag-dialog\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\codes\database\src\directive\el-table\adaptive.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 42
"d:\codes\database\src\directive\el-table\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\codes\database\src\directive\permission\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\codes\database\src\directive\permission\permission.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\codes\database\src\directive\sticky.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 92
"d:\codes\database\src\directive\waves\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\codes\database\src\directive\waves\waves.css", "PostCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\codes\database\src\directive\waves\waves.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"d:\codes\database\src\filters\index.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 69
"d:\codes\database\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\codes\database\src\icons\svg\404.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\bug.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\chart.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\clipboard.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\component.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\documentation.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\drag.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\edit.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\education.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\email.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\example.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\excel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\exit-fullscreen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\codes\database\src\icons\svg\eye.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
